idade,renda,tipo_moradia,tempo_emprego,finalidade_emp,score_emp,valor_emp,tx_jr_emp,perc_comp_renda,hist_inad,hist_credito,inad
26,33600,ALUGADA,4.0,RENEGOCIACAO,B,6000,10.71,0.18,N,3,0
22,33650,ALUGADA,1.0,EDUCACAO,D,6000,12.86,0.18,N,4,1
24,48732,OUTROS,6.0,SAUDE,A,3500,9.32,0.07,N,4,0
24,48800,FINANCIADA,7.0,RENEGOCIACAO,A,9000,7.49,0.18,N,2,0
21,33996,ALUGADA,1.0,PESSOAL,C,6000,12.53,0.18,S,3,0
24,48852,FINANCIADA,4.0,LAZER,A,10300,6.99,0.21,N,2,0
24,34000,ALUGADA,0.0,PESSOAL,A,6000,8.9,0.18,N,4,0
26,34000,ALUGADA,6.0,RENEGOCIACAO,B,6000,12.69,0.18,N,4,0
24,48960,FINANCIADA,8.0,LAZER,E,10000,18.39,0.2,N,3,0
23,34000,ALUGADA,2.0,RENEGOCIACAO,D,6000,14.09,0.18,S,4,1
22,48996,FINANCIADA,5.0,SAUDE,A,5000,7.9,0.1,N,4,0
23,48996,FINANCIADA,7.0,EDUCACAO,C,10525,13.61,0.21,N,2,0
25,29000,ALUGADA,0.0,SAUDE,C,6000,13.49,0.21,N,3,1
22,35000,ALUGADA,2.0,SAUDE,A,6000,7.49,0.17,N,2,0
22,42996,FINANCIADA,7.0,REFORMA,C,12000,13.79,0.28,N,4,1
23,29000,ALUGADA,5.0,EDUCACAO,A,6000,7.88,0.21,N,3,1
24,35000,ALUGADA,0.0,LAZER,C,6000,13.98,0.17,S,4,0
24,35004,ALUGADA,2.0,LAZER,B,6000,10.59,0.17,N,3,0
24,29004,ALUGADA,0.0,LAZER,D,6000,15.62,0.21,N,3,1
26,29004,ALUGADA,1.0,PESSOAL,D,6000,14.11,0.21,N,4,1
23,49000,FINANCIADA,6.0,RENEGOCIACAO,A,9600,5.42,0.2,N,3,0
24,43000,FINANCIADA,1.0,PESSOAL,D,4000,17.49,0.09,N,3,1
23,49000,FINANCIADA,5.0,EDUCACAO,A,3500,5.42,0.07,N,2,0
24,43000,FINANCIADA,8.0,RENEGOCIACAO,D,10000,16.89,0.23,S,2,1
26,29364,ALUGADA,4.0,REFORMA,C,6000,13.35,0.2,S,4,1
24,43000,FINANCIADA,2.0,RENEGOCIACAO,B,3000,10.99,0.07,N,3,1
23,49000,FINANCIADA,7.0,LAZER,C,4000,13.99,0.08,N,4,0
25,35392,ALUGADA,9.0,EDUCACAO,A,6000,7.4,0.17,N,3,0
25,49000,FINANCIADA,9.0,RENEGOCIACAO,A,7000,6.99,0.14,N,3,0
22,29916,ALUGADA,1.0,PESSOAL,D,6000,15.65,0.2,N,2,1
24,49000,FINANCIADA,5.0,REFORMA,A,2700,6.92,0.06,N,4,0
22,49000,FINANCIADA,6.0,EDUCACAO,A,2400,5.79,0.05,N,4,0
23,49000,FINANCIADA,7.0,SAUDE,A,2400,7.66,0.05,N,3,0
25,49000,FINANCIADA,2.0,REFORMA,B,18225,10.0,0.37,N,4,0
26,49000,FINANCIADA,10.0,EDUCACAO,B,20000,10.0,0.41,N,2,0
22,30000,ALUGADA,7.0,EDUCACAO,C,6000,14.79,0.2,N,4,1
22,30000,ALUGADA,0.0,RENEGOCIACAO,E,6000,19.39,0.2,S,4,1
22,36000,ALUGADA,1.0,RENEGOCIACAO,C,6000,12.68,0.17,N,4,0
26,30000,ALUGADA,2.0,RENEGOCIACAO,E,6000,16.77,0.2,N,2,1
23,49000,FINANCIADA,2.0,LAZER,A,6000,7.88,0.12,N,4,0
26,49000,FINANCIADA,10.0,EDUCACAO,A,14000,7.88,0.29,N,2,0
22,36000,ALUGADA,6.0,EDUCACAO,B,6000,10.0,0.17,N,3,0
24,49000,FINANCIADA,7.0,SAUDE,A,3500,7.88,0.07,N,3,0
25,49000,PROPRIA,4.0,REFORMA,A,2500,6.76,0.05,N,4,0
22,36000,ALUGADA,4.0,EDUCACAO,B,6000,10.36,0.17,N,3,0
23,36000,ALUGADA,2.0,SAUDE,B,6000,11.86,0.17,N,4,0
25,36000,ALUGADA,9.0,RENEGOCIACAO,C,6000,14.72,0.17,N,2,0
22,49000,FINANCIADA,6.0,LAZER,A,4000,8.94,0.08,N,2,0
22,49000,FINANCIADA,2.0,RENEGOCIACAO,B,8500,12.53,0.17,N,2,0
22,36000,ALUGADA,6.0,EDUCACAO,B,6000,10.75,0.17,N,3,0
21,36000,ALUGADA,2.0,EDUCACAO,B,6000,11.86,0.17,N,3,0
22,49000,FINANCIADA,4.0,LAZER,A,7000,9.32,0.14,N,2,0
23,30000,ALUGADA,4.0,RENEGOCIACAO,D,6000,16.32,0.2,S,3,1
23,36000,ALUGADA,7.0,PESSOAL,A,6000,7.51,0.17,N,3,0
24,49000,FINANCIADA,2.0,LAZER,E,20000,15.57,0.41,S,4,0
24,49000,FINANCIADA,2.0,LAZER,D,7000,13.17,0.14,S,4,0
22,36000,ALUGADA,1.0,RENEGOCIACAO,A,6000,7.51,0.17,N,2,0
22,49032,FINANCIADA,6.0,EDUCACAO,B,2400,11.86,0.05,N,2,0
22,49140,PROPRIA,0.0,EDUCACAO,C,3000,13.16,0.06,N,2,0
25,49152,FINANCIADA,7.0,SAUDE,B,3000,11.71,0.06,N,2,0
24,36000,ALUGADA,5.0,SAUDE,D,6000,14.96,0.17,N,2,0
24,30000,ALUGADA,0.0,PESSOAL,D,6000,14.11,0.2,S,4,1
25,30000,ALUGADA,9.0,EDUCACAO,D,6000,14.74,0.2,S,4,1
21,30000,ALUGADA,1.0,EDUCACAO,C,6000,13.16,0.2,S,4,1
22,49200,FINANCIADA,6.0,LAZER,A,4800,7.51,0.1,N,3,0
25,49200,FINANCIADA,6.0,SAUDE,A,5600,7.49,0.11,N,2,0
26,30000,ALUGADA,1.0,SAUDE,E,6000,15.45,0.2,N,4,1
25,49200,FINANCIADA,2.0,EDUCACAO,B,6000,10.0,0.12,N,2,0
24,49200,PROPRIA,8.0,EDUCACAO,C,4000,13.06,0.08,N,4,0
26,49200,PROPRIA,11.0,REFORMA,B,10750,11.11,0.22,N,3,0
26,49200,FINANCIADA,8.0,EDUCACAO,A,4800,6.17,0.1,N,3,0
23,36100,ALUGADA,0.0,EDUCACAO,B,6000,9.88,0.17,N,2,0
22,36250,ALUGADA,6.0,EDUCACAO,C,6000,14.22,0.17,S,3,0
21,36450,ALUGADA,0.0,EDUCACAO,A,6000,8.63,0.16,N,3,0
22,36628,ALUGADA,4.0,EDUCACAO,B,6000,11.86,0.16,N,4,0
25,36852,ALUGADA,1.0,EDUCACAO,B,6000,12.42,0.16,N,2,0
23,31000,ALUGADA,1.0,RENEGOCIACAO,B,6000,11.71,0.19,N,2,1
24,37000,ALUGADA,1.0,RENEGOCIACAO,A,6000,7.66,0.16,N,2,0
24,49344,FINANCIADA,6.0,RENEGOCIACAO,B,8500,9.99,0.17,N,4,0
24,37000,ALUGADA,8.0,SAUDE,A,6000,6.76,0.16,N,4,0
22,37000,ALUGADA,5.0,EDUCACAO,B,6000,11.83,0.16,N,4,0
26,49441,PROPRIA,11.0,REFORMA,A,12000,6.99,0.24,N,4,0
21,37200,ALUGADA,2.0,RENEGOCIACAO,B,6000,11.71,0.16,N,4,0
24,37200,ALUGADA,2.0,PESSOAL,B,6000,9.99,0.16,N,3,0
22,37500,ALUGADA,6.0,SAUDE,B,6000,12.42,0.16,N,2,0
24,37920,ALUGADA,4.0,RENEGOCIACAO,A,6000,6.99,0.16,N,3,0
22,49500,FINANCIADA,5.0,LAZER,B,10000,10.36,0.2,N,3,0
25,32000,ALUGADA,9.0,RENEGOCIACAO,C,6000,12.99,0.19,S,2,1
25,49500,FINANCIADA,2.0,RENEGOCIACAO,A,2400,7.51,0.05,N,2,0
25,38000,ALUGADA,8.0,PESSOAL,A,6000,6.99,0.16,N,4,0
22,38000,ALUGADA,2.0,EDUCACAO,C,6000,13.57,0.16,S,4,0
25,49500,FINANCIADA,3.0,RENEGOCIACAO,C,9250,13.79,0.19,S,2,0
24,38000,ALUGADA,0.0,RENEGOCIACAO,B,6000,10.39,0.16,N,2,0
23,38000,ALUGADA,5.0,EDUCACAO,B,6000,10.46,0.16,N,2,0
22,49536,FINANCIADA,6.0,RENEGOCIACAO,A,5200,6.62,0.1,N,2,0
25,38004,ALUGADA,0.0,RENEGOCIACAO,B,6000,11.89,0.16,N,2,0
24,43590,FINANCIADA,8.0,SAUDE,B,8000,11.83,0.18,N,3,1
22,49600,FINANCIADA,4.0,LAZER,D,10000,14.96,0.2,S,3,0
24,49600,FINANCIADA,8.0,REFORMA,A,2500,7.4,0.05,N,2,0
25,49600,FINANCIADA,9.0,SAUDE,C,10000,11.66,0.2,S,4,0
25,43633,FINANCIADA,3.0,RENEGOCIACAO,D,9000,15.62,0.21,N,3,1
24,33000,ALUGADA,3.0,RENEGOCIACAO,D,6000,15.62,0.18,N,2,1
25,49713,FINANCIADA,7.0,RENEGOCIACAO,B,12000,11.86,0.24,N,2,0
25,49716,FINANCIADA,6.0,SAUDE,A,8000,9.32,0.16,N,2,0
21,39000,ALUGADA,4.0,EDUCACAO,B,6000,10.38,0.15,N,3,0
22,39000,ALUGADA,1.0,EDUCACAO,A,6000,8.0,0.15,N,3,0
25,33600,ALUGADA,9.0,RENEGOCIACAO,D,6000,15.58,0.18,S,2,1
21,39900,ALUGADA,3.0,RENEGOCIACAO,B,6000,11.49,0.15,N,3,0
23,39996,ALUGADA,2.0,RENEGOCIACAO,A,6000,7.51,0.15,N,3,0
25,39996,ALUGADA,9.0,LAZER,B,6000,9.7,0.15,N,4,0
23,39996,ALUGADA,0.0,EDUCACAO,C,6000,11.66,0.15,N,3,0
25,49920,FINANCIADA,9.0,RENEGOCIACAO,A,3325,5.42,0.07,N,3,0
25,40000,ALUGADA,2.0,SAUDE,B,6000,10.65,0.15,N,3,0
22,40000,ALUGADA,1.0,SAUDE,B,6000,12.69,0.15,N,4,0
22,49920,FINANCIADA,1.0,EDUCACAO,C,10000,12.53,0.2,N,3,0
26,49992,FINANCIADA,10.0,RENEGOCIACAO,B,6000,10.99,0.12,N,2,0
26,49995,FINANCIADA,10.0,EDUCACAO,B,10000,11.71,0.2,N,3,0
24,40000,ALUGADA,3.0,EDUCACAO,A,6000,6.62,0.15,N,3,0
23,50000,PROPRIA,7.0,EDUCACAO,B,10000,11.71,0.2,N,3,0
24,40000,ALUGADA,4.0,PESSOAL,C,6000,13.99,0.15,S,3,0
25,40000,ALUGADA,0.0,EDUCACAO,A,6000,7.66,0.15,N,3,0
22,50000,FINANCIADA,2.0,EDUCACAO,B,22000,9.91,0.44,N,2,0
22,40000,ALUGADA,0.0,LAZER,A,6000,7.66,0.15,N,2,0
25,50000,FINANCIADA,10.0,EDUCACAO,C,10000,13.49,0.2,S,4,0
23,40000,ALUGADA,3.0,EDUCACAO,A,6000,5.79,0.15,N,4,0
25,40000,ALUGADA,5.0,PESSOAL,A,6000,7.88,0.15,N,4,0
25,50000,FINANCIADA,9.0,PESSOAL,C,20000,15.27,0.4,N,4,0
22,40000,ALUGADA,5.0,LAZER,A,6000,7.51,0.15,N,4,0
23,40000,ALUGADA,5.0,SAUDE,A,6000,8.94,0.15,N,3,0
24,50000,FINANCIADA,2.0,PESSOAL,A,6000,7.51,0.12,N,3,0
22,50000,FINANCIADA,6.0,EDUCACAO,B,13000,10.65,0.26,N,3,0
22,40000,ALUGADA,0.0,EDUCACAO,C,6000,12.87,0.15,S,3,0
23,40000,ALUGADA,1.0,PESSOAL,A,6000,7.68,0.15,N,2,0
21,50000,FINANCIADA,5.0,EDUCACAO,C,9000,13.49,0.18,N,4,0
22,40000,ALUGADA,0.0,LAZER,A,6000,8.32,0.15,N,3,0
21,40000,ALUGADA,1.0,EDUCACAO,B,6000,10.08,0.15,N,3,0
23,34255,ALUGADA,7.0,LAZER,G,6000,22.11,0.18,S,3,1
23,50000,PROPRIA,5.0,LAZER,A,7000,8.9,0.14,N,4,0
24,41000,ALUGADA,3.0,EDUCACAO,A,6000,8.9,0.15,N,3,0
24,50000,FINANCIADA,0.0,EDUCACAO,B,18650,9.91,0.37,N,3,0
22,50000,FINANCIADA,6.0,EDUCACAO,A,4800,6.03,0.1,N,3,0
23,41000,ALUGADA,3.0,SAUDE,B,6000,10.99,0.15,N,2,0
26,44000,FINANCIADA,10.0,PESSOAL,D,20000,17.27,0.45,S,2,1
24,41004,ALUGADA,8.0,EDUCACAO,A,6000,7.68,0.15,N,4,0
23,41124,ALUGADA,7.0,RENEGOCIACAO,A,6000,7.49,0.15,N,4,0
22,50000,FINANCIADA,6.0,LAZER,B,6000,12.69,0.12,N,4,0
24,44000,FINANCIADA,4.0,REFORMA,A,2200,8.9,0.05,N,4,1
25,35196,ALUGADA,2.0,SAUDE,D,6000,14.54,0.17,N,3,1
25,50000,FINANCIADA,9.0,LAZER,A,18650,7.9,0.37,N,4,0
25,42000,ALUGADA,5.0,SAUDE,B,6000,12.42,0.14,N,2,0
22,42000,ALUGADA,6.0,RENEGOCIACAO,B,6000,10.65,0.14,N,2,0
23,42000,ALUGADA,5.0,LAZER,B,6000,9.99,0.14,N,4,0
26,42000,ALUGADA,3.0,EDUCACAO,A,6000,7.29,0.14,N,2,0
23,50000,FINANCIADA,6.0,EDUCACAO,B,17000,12.42,0.34,N,3,0
23,50000,FINANCIADA,7.0,EDUCACAO,A,3000,6.03,0.06,N,4,0
25,50000,FINANCIADA,6.0,REFORMA,C,11200,14.27,0.22,S,4,0
24,42000,ALUGADA,8.0,RENEGOCIACAO,C,6000,12.68,0.14,N,4,0
25,50000,FINANCIADA,8.0,RENEGOCIACAO,B,12500,10.65,0.25,N,4,0
24,50000,PROPRIA,5.0,RENEGOCIACAO,D,15000,16.29,0.3,N,4,0
26,42000,ALUGADA,0.0,LAZER,B,6000,11.12,0.14,N,4,0
26,42000,ALUGADA,8.0,SAUDE,C,6000,12.73,0.14,N,4,0
25,50000,PROPRIA,2.0,REFORMA,B,20000,11.71,0.4,N,4,0
23,42996,ALUGADA,2.0,EDUCACAO,C,6000,12.84,0.14,S,2,0
25,50000,FINANCIADA,3.0,RENEGOCIACAO,A,17000,6.03,0.34,N,2,0
26,50000,FINANCIADA,3.0,RENEGOCIACAO,A,8000,6.62,0.16,N,4,0
25,50000,FINANCIADA,0.0,LAZER,E,8000,19.42,0.16,N,2,0
23,50000,FINANCIADA,7.0,RENEGOCIACAO,A,2000,6.62,0.04,N,4,0
21,50000,FINANCIADA,5.0,LAZER,A,3500,6.03,0.07,N,4,0
25,50000,FINANCIADA,0.0,RENEGOCIACAO,A,2600,6.03,0.05,N,3,0
26,44000,FINANCIADA,3.0,RENEGOCIACAO,D,3500,16.29,0.08,N,3,1
25,44000,ALUGADA,1.0,EDUCACAO,B,6000,12.69,0.14,N,4,0
23,44000,ALUGADA,2.0,SAUDE,C,6000,14.22,0.14,S,4,0
22,50000,FINANCIADA,6.0,PESSOAL,A,8000,6.03,0.16,N,3,0
24,44000,ALUGADA,1.0,SAUDE,A,6000,8.0,0.14,N,2,0
23,50000,PROPRIA,4.0,PESSOAL,B,12600,11.71,0.25,N,4,0
24,50000,PROPRIA,5.0,LAZER,B,5000,12.69,0.1,N,3,0
25,50000,FINANCIADA,2.0,LAZER,A,10000,7.9,0.2,N,2,0
26,45000,ALUGADA,1.0,EDUCACAO,B,6000,9.91,0.13,N,2,0
24,50000,FINANCIADA,7.0,LAZER,B,7500,11.71,0.15,N,4,0
24,50000,PROPRIA,7.0,REFORMA,B,20000,12.69,0.4,N,2,0
26,45000,ALUGADA,1.0,LAZER,B,6000,11.71,0.13,N,2,0
24,50000,FINANCIADA,8.0,LAZER,A,13700,6.03,0.27,N,3,0
25,39000,ALUGADA,0.0,LAZER,C,6000,13.49,0.15,S,2,1
22,50000,FINANCIADA,6.0,PESSOAL,A,15000,7.9,0.3,N,3,0
23,39000,ALUGADA,1.0,EDUCACAO,D,6000,15.99,0.15,N,3,1
23,50000,FINANCIADA,3.0,EDUCACAO,A,10000,6.03,0.2,N,4,0
24,50000,FINANCIADA,2.0,SAUDE,A,12000,6.62,0.24,N,4,0
26,50000,PROPRIA,10.0,LAZER,A,9825,7.9,0.2,N,4,0
26,45000,ALUGADA,3.0,SAUDE,A,6000,7.49,0.13,N,2,0
26,50000,FINANCIADA,4.0,LAZER,A,17200,7.51,0.34,N,4,0
25,50000,PROPRIA,9.0,EDUCACAO,E,9175,19.42,0.18,N,4,0
23,39000,ALUGADA,7.0,SAUDE,D,6000,14.09,0.15,S,3,1
26,45000,ALUGADA,3.0,EDUCACAO,A,6000,5.79,0.13,N,2,0
22,45000,ALUGADA,0.0,PESSOAL,C,6000,13.23,0.13,N,4,0
23,45000,ALUGADA,2.0,LAZER,B,6000,11.86,0.13,N,3,0
23,45000,ALUGADA,7.0,LAZER,B,6000,11.49,0.13,N,2,0
22,50000,FINANCIADA,6.0,RENEGOCIACAO,A,12000,7.9,0.24,N,4,0
22,50000,FINANCIADA,6.0,PESSOAL,A,7800,6.62,0.16,N,3,0
26,50000,FINANCIADA,10.0,RENEGOCIACAO,A,5400,8.9,0.11,N,2,0
22,39000,ALUGADA,6.0,REFORMA,C,6000,13.22,0.15,S,2,1
23,45000,ALUGADA,8.0,RENEGOCIACAO,C,6000,12.53,0.13,N,2,0
21,45000,ALUGADA,5.0,SAUDE,A,6000,9.38,0.13,N,4,0
25,39396,ALUGADA,0.0,LAZER,D,6000,15.31,0.15,S,3,1
26,50000,PROPRIA,6.0,EDUCACAO,B,3000,9.91,0.06,N,2,0
26,50000,FINANCIADA,7.0,LAZER,A,7200,6.62,0.14,N,2,0
26,39600,ALUGADA,3.0,PESSOAL,B,6000,12.42,0.15,N,3,1
24,50000,FINANCIADA,3.0,LAZER,A,15000,8.9,0.3,N,2,0
22,50000,PROPRIA,6.0,EDUCACAO,B,1000,9.91,0.02,N,2,0
25,46000,ALUGADA,3.0,PESSOAL,C,6000,14.72,0.13,S,4,0
24,50000,FINANCIADA,5.0,PESSOAL,D,22800,17.27,0.46,N,2,0
25,50000,FINANCIADA,4.0,RENEGOCIACAO,A,9000,6.03,0.18,N,2,0
24,46151,ALUGADA,2.0,RENEGOCIACAO,B,6000,10.59,0.13,N,4,0
25,50000,FINANCIADA,5.0,RENEGOCIACAO,A,8000,5.42,0.16,N,4,0
23,46443,ALUGADA,7.0,EDUCACAO,A,6000,7.9,0.13,N,4,0
26,50000,PROPRIA,8.0,PESSOAL,C,4200,12.99,0.08,S,4,0
24,50000,FINANCIADA,8.0,PESSOAL,B,8000,10.99,0.16,N,3,0
25,46500,ALUGADA,1.0,EDUCACAO,B,6000,8.88,0.13,N,2,0
22,40680,ALUGADA,2.0,REFORMA,B,6000,11.36,0.15,N,4,1
24,47000,ALUGADA,7.0,LAZER,A,6000,8.9,0.13,N,3,0
23,50000,FINANCIADA,2.0,LAZER,A,6400,8.49,0.13,N,4,0
25,47000,ALUGADA,6.0,LAZER,B,6000,11.71,0.13,N,2,0
24,47000,ALUGADA,8.0,RENEGOCIACAO,B,6000,10.99,0.13,N,4,0
24,47000,ALUGADA,3.0,PESSOAL,A,6000,7.66,0.13,N,2,0
22,47000,ALUGADA,2.0,SAUDE,A,6000,5.42,0.13,N,3,0
25,47000,ALUGADA,1.0,EDUCACAO,C,6000,12.87,0.13,S,3,0
26,47000,ALUGADA,1.0,RENEGOCIACAO,B,6000,10.33,0.13,N,4,0
23,41500,ALUGADA,3.0,EDUCACAO,E,6000,16.7,0.14,N,2,1
26,50000,PROPRIA,10.0,PESSOAL,A,14400,7.49,0.29,N,4,0
24,41628,ALUGADA,6.0,RENEGOCIACAO,C,6000,11.28,0.14,S,2,1
24,47928,ALUGADA,1.0,SAUDE,B,6000,12.53,0.13,N,2,0
23,44000,FINANCIADA,3.0,SAUDE,B,5400,10.99,0.12,N,2,1
26,44000,FINANCIADA,6.0,EDUCACAO,A,10000,5.42,0.23,N,4,1
23,50000,PROPRIA,0.0,LAZER,B,2800,10.59,0.06,N,2,0
23,42000,ALUGADA,1.0,REFORMA,C,6000,12.99,0.14,N,4,1
26,50000,FINANCIADA,8.0,LAZER,B,8000,10.59,0.16,N,2,0
25,48000,ALUGADA,2.0,SAUDE,C,6000,12.99,0.13,S,3,0
22,48000,ALUGADA,6.0,LAZER,A,6000,7.49,0.13,N,4,0
25,48000,ALUGADA,2.0,PESSOAL,B,6000,10.37,0.13,N,4,0
24,50000,FINANCIADA,7.0,LAZER,D,11000,16.89,0.22,N,3,0
26,50000,FINANCIADA,5.0,REFORMA,B,12375,10.99,0.25,N,3,0
23,50000,FINANCIADA,5.0,LAZER,A,3600,5.99,0.07,N,2,0
21,48000,ALUGADA,5.0,LAZER,C,6000,13.48,0.13,N,4,0
22,44000,FINANCIADA,6.0,LAZER,D,6400,15.99,0.15,S,2,1
25,44000,FINANCIADA,9.0,RENEGOCIACAO,A,9800,7.49,0.22,N,4,1
24,42000,ALUGADA,2.0,REFORMA,D,6000,14.96,0.14,S,3,1
26,48000,ALUGADA,0.0,EDUCACAO,A,6000,8.59,0.13,N,4,0
26,50000,PROPRIA,10.0,PESSOAL,A,7500,5.99,0.15,N,2,0
23,50000,FINANCIADA,3.0,SAUDE,B,10000,10.99,0.2,N,3,0
22,50000,FINANCIADA,7.0,RENEGOCIACAO,A,9000,8.49,0.18,N,2,0
23,48000,ALUGADA,3.0,EDUCACAO,B,6000,11.89,0.13,N,3,0
23,42000,ALUGADA,3.0,RENEGOCIACAO,D,6000,14.42,0.14,N,4,1
23,50000,PROPRIA,7.0,LAZER,A,2050,7.49,0.04,N,2,0
23,42000,ALUGADA,2.0,PESSOAL,C,6000,12.41,0.14,N,4,1
24,48000,ALUGADA,8.0,SAUDE,C,6000,12.22,0.13,S,4,0
23,48500,ALUGADA,1.0,SAUDE,A,6000,9.32,0.12,N,3,0
23,44000,FINANCIADA,7.0,PESSOAL,A,10000,8.49,0.23,N,4,1
23,49000,ALUGADA,6.0,RENEGOCIACAO,A,6000,7.9,0.12,N,3,0
24,50000,FINANCIADA,7.0,REFORMA,C,6000,13.99,0.12,S,4,0
23,49152,ALUGADA,2.0,PESSOAL,A,6000,7.9,0.12,N,3,0
21,49200,ALUGADA,4.0,EDUCACAO,C,6000,13.72,0.12,N,3,0
22,50000,FINANCIADA,4.0,SAUDE,B,8000,10.59,0.16,N,4,0
24,49500,ALUGADA,9.0,EDUCACAO,D,6000,16.07,0.12,S,4,0
21,50000,FINANCIADA,5.0,RENEGOCIACAO,A,5375,7.49,0.11,N,3,0
22,50000,ALUGADA,4.0,SAUDE,B,6000,10.65,0.12,N,2,0
23,50000,ALUGADA,4.0,RENEGOCIACAO,B,6000,11.49,0.12,N,3,0
23,50000,FINANCIADA,7.0,RENEGOCIACAO,B,15000,9.99,0.3,N,4,0
24,50000,ALUGADA,0.0,PESSOAL,A,6000,7.49,0.12,N,4,0
24,50000,ALUGADA,5.0,SAUDE,C,6000,14.79,0.12,N,4,0
22,50000,ALUGADA,3.0,RENEGOCIACAO,C,6000,13.49,0.12,S,2,0
25,50000,ALUGADA,1.0,SAUDE,C,6000,14.79,0.12,S,3,0
24,50000,FINANCIADA,8.0,EDUCACAO,A,9600,6.99,0.19,N,3,0
23,50000,ALUGADA,4.0,LAZER,C,6000,13.49,0.12,N,3,0
25,50000,ALUGADA,5.0,REFORMA,C,6000,12.99,0.12,S,3,0
22,50000,PROPRIA,4.0,PESSOAL,B,5000,12.62,0.1,N,3,0
24,50000,FINANCIADA,5.0,PESSOAL,B,3500,10.99,0.07,N,2,0
24,50000,ALUGADA,1.0,SAUDE,A,6000,5.79,0.12,N,4,0
26,50000,PROPRIA,7.0,SAUDE,A,12000,8.49,0.24,N,4,0
23,50000,ALUGADA,4.0,RENEGOCIACAO,A,6000,5.79,0.12,N,2,0
21,50000,FINANCIADA,5.0,PESSOAL,B,7000,10.59,0.14,N,3,0
25,50000,ALUGADA,9.0,REFORMA,C,6000,14.17,0.12,N,3,0
21,50000,ALUGADA,5.0,SAUDE,B,6000,10.75,0.12,N,2,0
22,50000,ALUGADA,3.0,RENEGOCIACAO,B,6000,10.25,0.12,N,3,0
24,50000,FINANCIADA,8.0,EDUCACAO,B,15000,9.99,0.3,N,3,0
23,50000,ALUGADA,5.0,PESSOAL,B,6000,11.48,0.12,N,3,0
22,44000,FINANCIADA,6.0,SAUDE,A,5000,5.42,0.11,N,4,1
26,50000,FINANCIADA,6.0,RENEGOCIACAO,B,10800,10.99,0.22,N,4,0
23,50000,PROPRIA,4.0,LAZER,A,4800,5.99,0.1,N,3,0
22,50000,ALUGADA,6.0,PESSOAL,B,6000,11.89,0.12,N,2,0
23,50000,FINANCIADA,6.0,LAZER,A,7000,5.99,0.14,N,3,0
22,50000,ALUGADA,2.0,RENEGOCIACAO,B,6000,10.46,0.12,N,4,0
22,50000,FINANCIADA,0.0,RENEGOCIACAO,A,6400,7.29,0.13,N,4,0
26,44000,FINANCIADA,4.0,PESSOAL,B,11500,9.63,0.26,N,3,1
22,50508,ALUGADA,5.0,LAZER,A,6000,5.42,0.12,N,3,0
24,50000,FINANCIADA,4.0,RENEGOCIACAO,B,5000,10.0,0.1,N,4,0
23,50000,FINANCIADA,3.0,PESSOAL,A,6000,6.92,0.12,N,2,0
22,50650,ALUGADA,4.0,RENEGOCIACAO,B,6000,11.86,0.12,N,2,0
24,50000,FINANCIADA,8.0,EDUCACAO,A,3000,7.66,0.06,N,2,0
24,50740,ALUGADA,0.0,SAUDE,A,6000,9.63,0.12,N,3,0
24,45000,ALUGADA,0.0,SAUDE,E,6000,17.19,0.13,N,3,1
25,50000,FINANCIADA,9.0,PESSOAL,A,10000,6.92,0.2,N,2,0
26,51356,ALUGADA,4.0,RENEGOCIACAO,A,6000,5.79,0.12,N,4,0
26,51500,ALUGADA,3.0,SAUDE,B,6000,10.75,0.12,N,3,0
25,51541,ALUGADA,0.0,RENEGOCIACAO,B,6000,12.18,0.12,N,4,0
26,45928,ALUGADA,5.0,REFORMA,A,6000,7.9,0.13,N,4,1
23,52000,ALUGADA,4.0,RENEGOCIACAO,C,6000,14.22,0.12,N,4,0
25,50000,FINANCIADA,9.0,REFORMA,B,8000,10.0,0.16,N,2,0
25,52000,ALUGADA,2.0,LAZER,C,6000,12.87,0.12,S,4,0
25,52000,ALUGADA,4.0,LAZER,D,6000,14.96,0.12,S,2,0
26,52000,ALUGADA,10.0,REFORMA,E,6000,15.68,0.12,N,3,0
24,52800,ALUGADA,3.0,REFORMA,B,6000,9.91,0.11,N,4,0
22,50000,PROPRIA,6.0,LAZER,A,6400,6.92,0.13,N,4,0
25,53000,ALUGADA,9.0,REFORMA,A,6000,7.9,0.11,N,4,0
22,50000,PROPRIA,3.0,EDUCACAO,A,5000,7.29,0.1,N,4,0
24,53000,ALUGADA,0.0,EDUCACAO,B,6000,11.49,0.11,N,2,0
23,50000,FINANCIADA,5.0,RENEGOCIACAO,A,6000,7.66,0.12,N,4,0
22,53819,ALUGADA,2.0,EDUCACAO,A,6000,7.42,0.11,N,3,0
22,50000,FINANCIADA,6.0,LAZER,A,6800,6.92,0.14,N,4,0
22,50000,FINANCIADA,3.0,PESSOAL,B,6000,11.11,0.12,N,3,0
22,54000,ALUGADA,6.0,PESSOAL,C,6000,12.98,0.11,N,3,0
24,54000,ALUGADA,2.0,EDUCACAO,A,6000,7.14,0.11,N,3,0
26,48000,ALUGADA,0.0,PESSOAL,E,6000,16.45,0.13,N,4,1
25,54000,ALUGADA,4.0,REFORMA,A,6000,8.59,0.11,N,4,0
23,54000,ALUGADA,0.0,EDUCACAO,C,6000,12.53,0.11,S,4,0
22,50000,FINANCIADA,7.0,LAZER,B,8800,11.11,0.18,N,4,0
